behaviorLogId,studentId,yearGroup,academicYear,date,primaryCategory,subcategory,severity,details,status,dateResolved
676,1084,3,2020/21,2021-01-04,Safety and Discipline,Leaving School Grounds Without Permission,Mild,The student left the school premises without authorization.,Pending,
677,1085,3,2020/21,2021-02-19,Engagement/Participation,Sleeping in Class,Severe,The student was found sleeping during a lecture.,Pending,
678,1085,3,2020/21,2021-02-07,Engagement/Participation,Not Completing Assignments,Moderate,The student failed to submit or complete assigned tasks.,Pending,
679,1085,3,2020/21,2021-07-02,Safety and Discipline,Vandalism,Severe,The student damaged school property intentionally.,Resolved,2021-09-26
680,1086,3,2020/21,2020-11-23,Attendance Issues,Late Arrival,Moderate,The student arrived late without a valid excuse.,Pending,
681,1086,3,2020/21,2021-02-25,Safety and Discipline,Bringing Prohibited Items,Moderate,The student brought a prohibited item to school.,Resolved,2021-04-30
682,1086,3,2020/21,2021-03-12,Attendance Issues,Absense,Severe,The student was absent for an entire day without prior notice.,Pending,
683,1089,3,2020/21,2020-10-24,Safety and Discipline,Leaving School Grounds Without Permission,Mild,The student left the school premises without authorization.,Pending,
684,1089,3,2020/21,2021-03-07,Positive Behavior,Participation,None,The student actively engaged in class discussions and activities.,,
685,1092,3,2020/21,2021-05-26,Safety and Discipline,Vandalism,Mild,The student damaged school property intentionally.,Pending,
686,1094,3,2020/21,2021-06-20,Safety and Discipline,Bringing Prohibited Items,Severe,The student brought a prohibited item to school.,Resolved,2021-08-03
687,1097,3,2020/21,2021-02-18,Disruptive Behavior,Talking,Moderate,"The student talked during lessons, disrupting the class.",Pending,
688,1098,3,2020/21,2020-11-29,Safety and Discipline,Leaving School Grounds Without Permission,Mild,The student left the school premises without authorization.,Pending,
689,1098,3,2020/21,2020-09-06,Engagement/Participation,Off-Task,Moderate,The student was frequently distracted and off-task during lessons.,Pending,
690,1098,3,2020/21,2021-03-01,Disruptive Behavior,Interrupting,Severe,The student frequently interrupted the teacher during lessons.,Pending,
691,1099,4,2020/21,2020-09-11,Positive Behavior,Consistent Attendance,None,The student maintained perfect attendance throughout the term.,,
692,1101,4,2020/21,2021-01-22,Engagement/Participation,Not Completing Assignments,Moderate,The student failed to submit or complete assigned tasks.,Pending,
693,1103,4,2020/21,2020-12-08,Aggressive/Unsafe Behavior,Physical Aggression,Moderate,The student displayed physical aggression towards others.,Pending,
694,1103,4,2020/21,2020-11-24,Disruptive Behavior,Defiance,Mild,The student showed defiant behavior towards instructions.,Pending,
695,1105,4,2020/21,2021-06-01,Aggressive/Unsafe Behavior,Physical Aggression,Moderate,The student displayed physical aggression towards others.,Resolved,2021-07-16
696,1106,4,2020/21,2021-05-10,Disruptive Behavior,Talking,Severe,"The student talked during lessons, disrupting the class.",Pending,
697,1106,4,2020/21,2021-03-25,Aggressive/Unsafe Behavior,Verbal Aggression,Moderate,The student used abusive or offensive language.,Pending,
698,1107,4,2020/21,2020-12-01,Engagement/Participation,Off-Task,Severe,The student was frequently distracted and off-task during lessons.,Pending,
699,1107,4,2020/21,2020-09-18,Engagement/Participation,Not Completing Assignments,Mild,The student failed to submit or complete assigned tasks.,Pending,
700,1107,4,2020/21,2021-03-01,Attendance Issues,Absense,Moderate,The student was absent for an entire day without prior notice.,Pending,
701,1108,4,2020/21,2021-01-16,Engagement/Participation,Not Completing Assignments,Mild,The student failed to submit or complete assigned tasks.,Pending,
702,1108,4,2020/21,2020-11-10,Disruptive Behavior,Defiance,Severe,The student showed defiant behavior towards instructions.,Pending,
703,1108,4,2020/21,2020-11-22,Positive Behavior,Academic Effort,None,The student showed consistent effort to improve academically.,,
704,1109,4,2020/21,2020-10-30,Positive Behavior,Leadership,None,The student demonstrated leadership skills during group activities.,,
705,1109,4,2020/21,2020-10-26,Positive Behavior,Helping Others,None,The student helped peers with their tasks or studies.,,
706,1110,4,2020/21,2021-06-22,Safety and Discipline,Vandalism,Severe,The student damaged school property intentionally.,Pending,
707,1110,4,2020/21,2021-04-25,Attendance Issues,Truancy,Mild,The student skipped school without any permission.,Pending,
708,1111,4,2020/21,2020-10-31,Positive Behavior,Helping Others,None,The student helped peers with their tasks or studies.,,
709,1111,4,2020/21,2021-07-27,Attendance Issues,Absense,Severe,The student was absent for an entire day without prior notice.,Pending,
710,1113,4,2020/21,2020-11-15,Positive Behavior,Academic Effort,None,The student showed consistent effort to improve academically.,,
711,1113,4,2020/21,2020-11-30,Disruptive Behavior,Defiance,Moderate,The student showed defiant behavior towards instructions.,Pending,
712,1113,4,2020/21,2021-01-21,Attendance Issues,Truancy,Severe,The student skipped school without any permission.,Resolved,2021-02-19
713,1116,4,2020/21,2021-02-19,Engagement/Participation,Not Completing Assignments,Severe,The student failed to submit or complete assigned tasks.,Pending,
714,1116,4,2020/21,2021-01-13,Engagement/Participation,Lack of Participation,Moderate,The student did not participate in class activities.,Pending,
715,1116,4,2020/21,2020-09-02,Engagement/Participation,Off-Task,Mild,The student was frequently distracted and off-task during lessons.,Resolved,2020-11-19
716,1117,4,2020/21,2021-01-14,Attendance Issues,Absense,Moderate,The student was absent for an entire day without prior notice.,Pending,
717,1117,4,2020/21,2021-07-27,Disruptive Behavior,Talking,Severe,"The student talked during lessons, disrupting the class.",Pending,
718,1117,4,2020/21,2021-05-17,Attendance Issues,Truancy,Mild,The student skipped school without any permission.,Resolved,2021-05-29
719,1118,4,2020/21,2021-02-19,Safety and Discipline,Leaving School Grounds Without Permission,Moderate,The student left the school premises without authorization.,Pending,
720,1119,4,2020/21,2020-12-29,Aggressive/Unsafe Behavior,Physical Aggression,Mild,The student displayed physical aggression towards others.,Pending,
721,1120,4,2020/21,2020-09-15,Engagement/Participation,Not Completing Assignments,Mild,The student failed to submit or complete assigned tasks.,Pending,
722,1122,4,2020/21,2020-10-11,Safety and Discipline,Vandalism,Severe,The student damaged school property intentionally.,Resolved,2020-10-26
723,1122,4,2020/21,2020-09-13,Engagement/Participation,Lack of Participation,Severe,The student did not participate in class activities.,Resolved,2020-10-25
724,1122,4,2020/21,2020-09-16,Disruptive Behavior,Defiance,Severe,The student showed defiant behavior towards instructions.,Pending,
725,1123,4,2020/21,2021-04-23,Disruptive Behavior,Defiance,Moderate,The student showed defiant behavior towards instructions.,Pending,
726,1123,4,2020/21,2021-01-02,Attendance Issues,Absense,Severe,The student was absent for an entire day without prior notice.,Pending,
727,1123,4,2020/21,2020-11-04,Positive Behavior,Consistent Attendance,None,The student maintained perfect attendance throughout the term.,,
728,1124,4,2020/21,2021-02-20,Attendance Issues,Absense,Mild,The student was absent for an entire day without prior notice.,Pending,
729,1125,4,2020/21,2021-06-15,Engagement/Participation,Off-Task,Moderate,The student was frequently distracted and off-task during lessons.,Resolved,2021-09-05
730,1125,4,2020/21,2020-10-01,Disruptive Behavior,Talking,Severe,"The student talked during lessons, disrupting the class.",Resolved,2020-11-25
731,1126,4,2020/21,2021-04-07,Aggressive/Unsafe Behavior,Verbal Aggression,Moderate,The student used abusive or offensive language.,Pending,
732,1126,4,2020/21,2021-06-19,Positive Behavior,Participation,None,The student actively engaged in class discussions and activities.,,
733,1126,4,2020/21,2020-10-02,Disruptive Behavior,Interrupting,Moderate,The student frequently interrupted the teacher during lessons.,Pending,
734,1127,4,2020/21,2021-01-19,Attendance Issues,Absense,Mild,The student was absent for an entire day without prior notice.,Pending,
735,1127,4,2020/21,2020-12-12,Disruptive Behavior,Defiance,Severe,The student showed defiant behavior towards instructions.,Resolved,2020-12-26
736,1127,4,2020/21,2021-05-04,Aggressive/Unsafe Behavior,Physical Aggression,Severe,The student displayed physical aggression towards others.,Resolved,2021-05-05
737,1128,4,2020/21,2020-12-22,Engagement/Participation,Sleeping in Class,Moderate,The student was found sleeping during a lecture.,Pending,
738,1128,4,2020/21,2021-06-14,Attendance Issues,Absense,Moderate,The student was absent for an entire day without prior notice.,Pending,
739,1129,4,2020/21,2020-11-24,Disruptive Behavior,Defiance,Mild,The student showed defiant behavior towards instructions.,Resolved,2021-01-02
740,1129,4,2020/21,2020-11-04,Safety and Discipline,Leaving School Grounds Without Permission,Mild,The student left the school premises without authorization.,Resolved,2021-01-29
741,1131,4,2020/21,2021-06-06,Attendance Issues,Truancy,Severe,The student skipped school without any permission.,Pending,
742,1133,4,2020/21,2021-05-30,Disruptive Behavior,Interrupting,Mild,The student frequently interrupted the teacher during lessons.,Pending,
743,1133,4,2020/21,2021-04-07,Aggressive/Unsafe Behavior,Physical Aggression,Moderate,The student displayed physical aggression towards others.,Pending,
744,1134,4,2020/21,2021-01-17,Safety and Discipline,Bringing Prohibited Items,Mild,The student brought a prohibited item to school.,Pending,
745,1134,4,2020/21,2020-12-26,Attendance Issues,Late Arrival,Moderate,The student arrived late without a valid excuse.,Pending,
746,1135,4,2020/21,2021-03-18,Attendance Issues,Late Arrival,Moderate,The student arrived late without a valid excuse.,Pending,
747,1135,4,2020/21,2021-06-26,Engagement/Participation,Lack of Participation,Moderate,The student did not participate in class activities.,Resolved,2021-07-24
748,1135,4,2020/21,2020-11-03,Disruptive Behavior,Talking,Mild,"The student talked during lessons, disrupting the class.",Resolved,2021-01-06
749,1136,4,2020/21,2020-09-14,Aggressive/Unsafe Behavior,Bullying,Moderate,The student was reported for bullying peers.,Pending,
750,1136,4,2020/21,2020-10-31,Disruptive Behavior,Defiance,Moderate,The student showed defiant behavior towards instructions.,Pending,
751,1136,4,2020/21,2021-06-30,Aggressive/Unsafe Behavior,Physical Aggression,Moderate,The student displayed physical aggression towards others.,Pending,
752,1137,4,2020/21,2020-11-27,Positive Behavior,Leadership,None,The student demonstrated leadership skills during group activities.,,
753,1138,4,2020/21,2020-11-22,Positive Behavior,Leadership,None,The student demonstrated leadership skills during group activities.,,
754,1139,4,2020/21,2020-09-13,Engagement/Participation,Sleeping in Class,Mild,The student was found sleeping during a lecture.,Pending,
755,1139,4,2020/21,2021-01-31,Aggressive/Unsafe Behavior,Verbal Aggression,Moderate,The student used abusive or offensive language.,Pending,
756,1139,4,2020/21,2021-03-30,Aggressive/Unsafe Behavior,Physical Aggression,Mild,The student displayed physical aggression towards others.,Resolved,2021-05-19
757,1140,4,2020/21,2021-06-11,Engagement/Participation,Off-Task,Severe,The student was frequently distracted and off-task during lessons.,Resolved,2021-08-17
758,1140,4,2020/21,2020-09-04,Safety and Discipline,Bringing Prohibited Items,Mild,The student brought a prohibited item to school.,Pending,
759,1140,4,2020/21,2020-12-04,Safety and Discipline,Leaving School Grounds Without Permission,Mild,The student left the school premises without authorization.,Pending,
760,1143,4,2020/21,2020-12-27,Engagement/Participation,Sleeping in Class,Severe,The student was found sleeping during a lecture.,Pending,
761,1143,4,2020/21,2021-07-17,Disruptive Behavior,Talking,Severe,"The student talked during lessons, disrupting the class.",Pending,
762,1143,4,2020/21,2020-09-26,Engagement/Participation,Lack of Participation,Moderate,The student did not participate in class activities.,Pending,
763,1144,4,2020/21,2021-02-22,Safety and Discipline,Bringing Prohibited Items,Mild,The student brought a prohibited item to school.,Resolved,2021-03-31
764,1144,4,2020/21,2021-05-04,Disruptive Behavior,Talking,Severe,"The student talked during lessons, disrupting the class.",Resolved,2021-06-05
765,1144,4,2020/21,2021-02-15,Disruptive Behavior,Defiance,Moderate,The student showed defiant behavior towards instructions.,Resolved,2021-04-24
766,1146,4,2020/21,2020-12-08,Engagement/Participation,Lack of Participation,Severe,The student did not participate in class activities.,Resolved,2021-02-10
767,1146,4,2020/21,2020-12-16,Safety and Discipline,Leaving School Grounds Without Permission,Severe,The student left the school premises without authorization.,Resolved,2021-01-09
768,1146,4,2020/21,2020-10-08,Engagement/Participation,Sleeping in Class,Moderate,The student was found sleeping during a lecture.,Pending,
769,1147,5,2020/21,2020-09-18,Positive Behavior,Participation,None,The student actively engaged in class discussions and activities.,,
770,1147,5,2020/21,2021-02-09,Positive Behavior,Leadership,None,The student demonstrated leadership skills during group activities.,,
771,1148,5,2020/21,2020-09-02,Aggressive/Unsafe Behavior,Physical Aggression,Moderate,The student displayed physical aggression towards others.,Resolved,2020-09-08
772,1149,5,2020/21,2021-02-07,Attendance Issues,Late Arrival,Mild,The student arrived late without a valid excuse.,Pending,
773,1149,5,2020/21,2021-02-15,Aggressive/Unsafe Behavior,Physical Aggression,Severe,The student displayed physical aggression towards others.,Resolved,2021-03-18
774,1150,5,2020/21,2020-11-29,Aggressive/Unsafe Behavior,Bullying,Moderate,The student was reported for bullying peers.,Resolved,2020-12-03
775,1150,5,2020/21,2021-03-02,Aggressive/Unsafe Behavior,Physical Aggression,Moderate,The student displayed physical aggression towards others.,Resolved,2021-04-12
776,1152,5,2020/21,2021-05-14,Aggressive/Unsafe Behavior,Verbal Aggression,Moderate,The student used abusive or offensive language.,Pending,
777,1157,5,2020/21,2021-04-05,Aggressive/Unsafe Behavior,Bullying,Severe,The student was reported for bullying peers.,Pending,
778,1158,5,2020/21,2021-01-17,Disruptive Behavior,Talking,Severe,"The student talked during lessons, disrupting the class.",Resolved,2021-01-22
779,1158,5,2020/21,2020-12-08,Disruptive Behavior,Interrupting,Mild,The student frequently interrupted the teacher during lessons.,Pending,
780,1158,5,2020/21,2021-01-07,Attendance Issues,Late Arrival,Moderate,The student arrived late without a valid excuse.,Resolved,2021-03-03
781,1162,5,2020/21,2021-04-13,Attendance Issues,Absense,Moderate,The student was absent for an entire day without prior notice.,Pending,
782,1162,5,2020/21,2021-01-23,Disruptive Behavior,Defiance,Moderate,The student showed defiant behavior towards instructions.,Resolved,2021-01-24
783,1163,5,2020/21,2021-06-07,Aggressive/Unsafe Behavior,Verbal Aggression,Moderate,The student used abusive or offensive language.,Pending,
784,1163,5,2020/21,2021-03-05,Engagement/Participation,Lack of Participation,Moderate,The student did not participate in class activities.,Pending,
785,1164,5,2020/21,2021-03-23,Engagement/Participation,Off-Task,Moderate,The student was frequently distracted and off-task during lessons.,Pending,
786,1166,5,2020/21,2021-01-05,Safety and Discipline,Leaving School Grounds Without Permission,Severe,The student left the school premises without authorization.,Pending,
787,1167,5,2020/21,2021-02-23,Engagement/Participation,Off-Task,Severe,The student was frequently distracted and off-task during lessons.,Pending,
788,1168,5,2020/21,2021-02-27,Positive Behavior,Consistent Attendance,None,The student maintained perfect attendance throughout the term.,,
789,1168,5,2020/21,2021-05-25,Attendance Issues,Late Arrival,Mild,The student arrived late without a valid excuse.,Resolved,2021-06-11
790,1170,5,2020/21,2021-03-11,Safety and Discipline,Bringing Prohibited Items,Mild,The student brought a prohibited item to school.,Pending,
791,1170,5,2020/21,2021-05-07,Attendance Issues,Absense,Severe,The student was absent for an entire day without prior notice.,Resolved,2021-07-11
792,1170,5,2020/21,2020-10-06,Engagement/Participation,Lack of Participation,Mild,The student did not participate in class activities.,Pending,
793,1171,5,2020/21,2021-05-02,Disruptive Behavior,Defiance,Mild,The student showed defiant behavior towards instructions.,Resolved,2021-07-21
794,1173,5,2020/21,2021-01-21,Aggressive/Unsafe Behavior,Bullying,Severe,The student was reported for bullying peers.,Pending,
795,1173,5,2020/21,2021-07-27,Engagement/Participation,Off-Task,Mild,The student was frequently distracted and off-task during lessons.,Pending,
796,1174,5,2020/21,2021-05-29,Aggressive/Unsafe Behavior,Bullying,Moderate,The student was reported for bullying peers.,Pending,
797,1174,5,2020/21,2021-01-05,Engagement/Participation,Off-Task,Mild,The student was frequently distracted and off-task during lessons.,Pending,
798,1175,5,2020/21,2021-03-05,Aggressive/Unsafe Behavior,Bullying,Severe,The student was reported for bullying peers.,Resolved,2021-04-15
799,1176,5,2020/21,2020-11-03,Disruptive Behavior,Interrupting,Mild,The student frequently interrupted the teacher during lessons.,Pending,
800,1176,5,2020/21,2020-09-01,Aggressive/Unsafe Behavior,Verbal Aggression,Severe,The student used abusive or offensive language.,Pending,
801,1176,5,2020/21,2021-02-16,Positive Behavior,Helping Others,None,The student helped peers with their tasks or studies.,,
802,1177,5,2020/21,2021-03-28,Aggressive/Unsafe Behavior,Verbal Aggression,Mild,The student used abusive or offensive language.,Resolved,2021-03-29
803,1177,5,2020/21,2021-04-23,Disruptive Behavior,Talking,Severe,"The student talked during lessons, disrupting the class.",Resolved,2021-06-12
804,1177,5,2020/21,2021-04-13,Aggressive/Unsafe Behavior,Physical Aggression,Mild,The student displayed physical aggression towards others.,Pending,
805,1179,5,2020/21,2021-04-01,Attendance Issues,Absense,Severe,The student was absent for an entire day without prior notice.,Pending,
806,1179,5,2020/21,2021-05-02,Disruptive Behavior,Interrupting,Severe,The student frequently interrupted the teacher during lessons.,Pending,
807,1179,5,2020/21,2020-11-10,Engagement/Participation,Lack of Participation,Mild,The student did not participate in class activities.,Resolved,2021-01-01
808,1180,5,2020/21,2020-09-21,Attendance Issues,Absense,Mild,The student was absent for an entire day without prior notice.,Resolved,2020-12-08
809,1180,5,2020/21,2021-01-26,Safety and Discipline,Leaving School Grounds Without Permission,Severe,The student left the school premises without authorization.,Pending,
810,1180,5,2020/21,2021-04-12,Disruptive Behavior,Talking,Moderate,"The student talked during lessons, disrupting the class.",Resolved,2021-05-04
811,1181,5,2020/21,2020-09-14,Aggressive/Unsafe Behavior,Verbal Aggression,Moderate,The student used abusive or offensive language.,Pending,
812,1182,5,2020/21,2021-02-27,Positive Behavior,Academic Effort,None,The student showed consistent effort to improve academically.,,
813,1186,5,2020/21,2021-04-02,Positive Behavior,Helping Others,None,The student helped peers with their tasks or studies.,,
814,1187,5,2020/21,2020-12-13,Disruptive Behavior,Interrupting,Mild,The student frequently interrupted the teacher during lessons.,Pending,
815,1188,5,2020/21,2021-01-19,Aggressive/Unsafe Behavior,Physical Aggression,Moderate,The student displayed physical aggression towards others.,Pending,
816,1188,5,2020/21,2021-01-29,Engagement/Participation,Off-Task,Mild,The student was frequently distracted and off-task during lessons.,Pending,
817,1188,5,2020/21,2021-07-04,Safety and Discipline,Leaving School Grounds Without Permission,Mild,The student left the school premises without authorization.,Pending,
818,1189,5,2020/21,2021-06-04,Aggressive/Unsafe Behavior,Physical Aggression,Severe,The student displayed physical aggression towards others.,Pending,
819,1189,5,2020/21,2021-05-20,Aggressive/Unsafe Behavior,Physical Aggression,Moderate,The student displayed physical aggression towards others.,Pending,
820,1190,5,2020/21,2020-11-23,Engagement/Participation,Not Completing Assignments,Moderate,The student failed to submit or complete assigned tasks.,Resolved,2021-02-20
821,1190,5,2020/21,2020-09-18,Disruptive Behavior,Talking,Mild,"The student talked during lessons, disrupting the class.",Pending,
822,1190,5,2020/21,2021-04-02,Attendance Issues,Truancy,Mild,The student skipped school without any permission.,Pending,
823,1191,5,2020/21,2020-12-31,Disruptive Behavior,Talking,Moderate,"The student talked during lessons, disrupting the class.",Resolved,2021-02-04
824,1191,5,2020/21,2020-11-10,Disruptive Behavior,Defiance,Moderate,The student showed defiant behavior towards instructions.,Resolved,2021-01-30
825,1193,5,2020/21,2020-09-22,Attendance Issues,Late Arrival,Mild,The student arrived late without a valid excuse.,Pending,
826,1193,5,2020/21,2020-10-17,Disruptive Behavior,Defiance,Mild,The student showed defiant behavior towards instructions.,Pending,
827,1193,5,2020/21,2021-06-12,Positive Behavior,Academic Effort,None,The student showed consistent effort to improve academically.,,
828,1195,6,2020/21,2020-11-02,Attendance Issues,Absense,Moderate,The student was absent for an entire day without prior notice.,Pending,
829,1195,6,2020/21,2021-01-26,Positive Behavior,Helping Others,None,The student helped peers with their tasks or studies.,,
830,1195,6,2020/21,2021-05-21,Attendance Issues,Truancy,Mild,The student skipped school without any permission.,Pending,
831,1196,6,2020/21,2021-03-02,Attendance Issues,Absense,Moderate,The student was absent for an entire day without prior notice.,Pending,
832,1196,6,2020/21,2021-04-22,Engagement/Participation,Not Completing Assignments,Mild,The student failed to submit or complete assigned tasks.,Resolved,2021-05-10
833,1196,6,2020/21,2020-10-25,Attendance Issues,Late Arrival,Moderate,The student arrived late without a valid excuse.,Pending,
834,1197,6,2020/21,2021-06-27,Positive Behavior,Leadership,None,The student demonstrated leadership skills during group activities.,,
835,1197,6,2020/21,2021-04-02,Safety and Discipline,Vandalism,Mild,The student damaged school property intentionally.,Pending,
836,1197,6,2020/21,2021-07-31,Attendance Issues,Late Arrival,Mild,The student arrived late without a valid excuse.,Pending,
837,1198,6,2020/21,2021-03-10,Positive Behavior,Leadership,None,The student demonstrated leadership skills during group activities.,,
838,1199,6,2020/21,2021-07-22,Aggressive/Unsafe Behavior,Physical Aggression,Moderate,The student displayed physical aggression towards others.,Pending,
839,1200,6,2020/21,2021-01-28,Aggressive/Unsafe Behavior,Bullying,Mild,The student was reported for bullying peers.,Pending,
840,1200,6,2020/21,2021-02-24,Aggressive/Unsafe Behavior,Bullying,Mild,The student was reported for bullying peers.,Pending,
841,1200,6,2020/21,2021-07-05,Positive Behavior,Leadership,None,The student demonstrated leadership skills during group activities.,,
842,1201,6,2020/21,2021-01-06,Aggressive/Unsafe Behavior,Physical Aggression,Severe,The student displayed physical aggression towards others.,Pending,
843,1201,6,2020/21,2021-01-03,Positive Behavior,Academic Effort,None,The student showed consistent effort to improve academically.,,
844,1202,6,2020/21,2020-09-23,Safety and Discipline,Vandalism,Severe,The student damaged school property intentionally.,Pending,
845,1203,6,2020/21,2020-11-21,Aggressive/Unsafe Behavior,Bullying,Mild,The student was reported for bullying peers.,Pending,
846,1204,6,2020/21,2021-01-15,Disruptive Behavior,Talking,Mild,"The student talked during lessons, disrupting the class.",Pending,
847,1204,6,2020/21,2020-11-17,Aggressive/Unsafe Behavior,Bullying,Severe,The student was reported for bullying peers.,Pending,
848,1204,6,2020/21,2021-04-11,Engagement/Participation,Off-Task,Mild,The student was frequently distracted and off-task during lessons.,Resolved,2021-05-05
849,1205,6,2020/21,2020-10-12,Disruptive Behavior,Defiance,Mild,The student showed defiant behavior towards instructions.,Pending,
850,1206,6,2020/21,2021-07-26,Disruptive Behavior,Interrupting,Mild,The student frequently interrupted the teacher during lessons.,Pending,
851,1206,6,2020/21,2020-09-11,Attendance Issues,Late Arrival,Mild,The student arrived late without a valid excuse.,Pending,
852,1206,6,2020/21,2021-02-12,Safety and Discipline,Leaving School Grounds Without Permission,Moderate,The student left the school premises without authorization.,Pending,
853,1207,6,2020/21,2021-07-08,Attendance Issues,Late Arrival,Mild,The student arrived late without a valid excuse.,Pending,
854,1210,6,2020/21,2020-12-10,Positive Behavior,Academic Effort,None,The student showed consistent effort to improve academically.,,
855,1210,6,2020/21,2020-10-20,Aggressive/Unsafe Behavior,Verbal Aggression,Moderate,The student used abusive or offensive language.,Pending,
856,1210,6,2020/21,2021-02-27,Disruptive Behavior,Defiance,Severe,The student showed defiant behavior towards instructions.,Resolved,2021-05-24
857,1211,6,2020/21,2021-07-19,Engagement/Participation,Lack of Participation,Mild,The student did not participate in class activities.,Resolved,2021-09-11
858,1211,6,2020/21,2021-06-09,Disruptive Behavior,Talking,Severe,"The student talked during lessons, disrupting the class.",Pending,
859,1211,6,2020/21,2020-09-09,Aggressive/Unsafe Behavior,Bullying,Mild,The student was reported for bullying peers.,Pending,
860,1213,6,2020/21,2020-11-09,Aggressive/Unsafe Behavior,Physical Aggression,Mild,The student displayed physical aggression towards others.,Pending,
861,1214,6,2020/21,2021-03-31,Aggressive/Unsafe Behavior,Verbal Aggression,Severe,The student used abusive or offensive language.,Pending,
862,1215,6,2020/21,2021-06-01,Attendance Issues,Absense,Moderate,The student was absent for an entire day without prior notice.,Resolved,2021-08-24
863,1215,6,2020/21,2020-11-03,Attendance Issues,Truancy,Severe,The student skipped school without any permission.,Resolved,2021-01-13
864,1215,6,2020/21,2021-03-03,Engagement/Participation,Sleeping in Class,Moderate,The student was found sleeping during a lecture.,Pending,
865,1217,6,2020/21,2021-05-24,Positive Behavior,Leadership,None,The student demonstrated leadership skills during group activities.,,
866,1217,6,2020/21,2020-11-16,Attendance Issues,Truancy,Severe,The student skipped school without any permission.,Resolved,2021-01-02
867,1217,6,2020/21,2020-12-12,Engagement/Participation,Sleeping in Class,Mild,The student was found sleeping during a lecture.,Pending,
868,1219,6,2020/21,2021-02-01,Engagement/Participation,Off-Task,Moderate,The student was frequently distracted and off-task during lessons.,Pending,
869,1219,6,2020/21,2021-05-11,Safety and Discipline,Vandalism,Mild,The student damaged school property intentionally.,Pending,
870,1219,6,2020/21,2021-02-18,Attendance Issues,Absense,Mild,The student was absent for an entire day without prior notice.,Pending,
871,1222,6,2020/21,2021-05-17,Attendance Issues,Truancy,Severe,The student skipped school without any permission.,Pending,
872,1222,6,2020/21,2020-12-27,Engagement/Participation,Lack of Participation,Severe,The student did not participate in class activities.,Pending,
873,1223,6,2020/21,2021-07-22,Disruptive Behavior,Defiance,Mild,The student showed defiant behavior towards instructions.,Pending,
874,1223,6,2020/21,2021-01-08,Safety and Discipline,Vandalism,Severe,The student damaged school property intentionally.,Pending,
875,1227,6,2020/21,2020-12-29,Positive Behavior,Leadership,None,The student demonstrated leadership skills during group activities.,,
876,1227,6,2020/21,2021-01-27,Safety and Discipline,Vandalism,Severe,The student damaged school property intentionally.,Pending,
877,1227,6,2020/21,2021-01-01,Positive Behavior,Helping Others,None,The student helped peers with their tasks or studies.,,
878,1228,6,2020/21,2020-11-20,Aggressive/Unsafe Behavior,Bullying,Mild,The student was reported for bullying peers.,Pending,
879,1228,6,2020/21,2021-03-14,Safety and Discipline,Bringing Prohibited Items,Mild,The student brought a prohibited item to school.,Pending,
880,1228,6,2020/21,2021-04-27,Attendance Issues,Late Arrival,Severe,The student arrived late without a valid excuse.,Pending,
881,1230,6,2020/21,2021-03-27,Aggressive/Unsafe Behavior,Verbal Aggression,Moderate,The student used abusive or offensive language.,Resolved,2021-04-19
882,1230,6,2020/21,2021-03-07,Aggressive/Unsafe Behavior,Verbal Aggression,Severe,The student used abusive or offensive language.,Pending,
883,1231,6,2020/21,2020-10-16,Aggressive/Unsafe Behavior,Verbal Aggression,Mild,The student used abusive or offensive language.,Pending,
884,1231,6,2020/21,2021-03-09,Safety and Discipline,Bringing Prohibited Items,Severe,The student brought a prohibited item to school.,Pending,
885,1231,6,2020/21,2020-12-14,Disruptive Behavior,Talking,Moderate,"The student talked during lessons, disrupting the class.",Resolved,2021-01-26
886,1232,6,2020/21,2020-12-04,Disruptive Behavior,Talking,Mild,"The student talked during lessons, disrupting the class.",Pending,
887,1232,6,2020/21,2021-03-02,Positive Behavior,Helping Others,None,The student helped peers with their tasks or studies.,,
888,1234,6,2020/21,2021-02-11,Engagement/Participation,Off-Task,Severe,The student was frequently distracted and off-task during lessons.,Resolved,2021-05-11
889,1234,6,2020/21,2020-10-27,Safety and Discipline,Bringing Prohibited Items,Moderate,The student brought a prohibited item to school.,Resolved,2020-11-24
890,1234,6,2020/21,2021-05-19,Safety and Discipline,Bringing Prohibited Items,Moderate,The student brought a prohibited item to school.,Pending,
891,1235,6,2020/21,2021-02-09,Attendance Issues,Absense,Severe,The student was absent for an entire day without prior notice.,Pending,
892,1235,6,2020/21,2021-07-18,Positive Behavior,Helping Others,None,The student helped peers with their tasks or studies.,,
893,1236,6,2020/21,2020-11-12,Aggressive/Unsafe Behavior,Physical Aggression,Severe,The student displayed physical aggression towards others.,Resolved,2020-11-25
894,1237,6,2020/21,2021-03-06,Aggressive/Unsafe Behavior,Physical Aggression,Severe,The student displayed physical aggression towards others.,Resolved,2021-05-27
895,1238,6,2020/21,2020-09-15,Safety and Discipline,Leaving School Grounds Without Permission,Moderate,The student left the school premises without authorization.,Pending,
896,1238,6,2020/21,2021-04-26,Positive Behavior,Academic Effort,None,The student showed consistent effort to improve academically.,,
897,1241,6,2020/21,2021-04-29,Aggressive/Unsafe Behavior,Physical Aggression,Moderate,The student displayed physical aggression towards others.,Pending,
898,1242,6,2020/21,2021-03-14,Attendance Issues,Truancy,Severe,The student skipped school without any permission.,Resolved,2021-03-21
899,1242,6,2020/21,2020-11-29,Attendance Issues,Truancy,Severe,The student skipped school without any permission.,Pending,
